date,escopo_autuacao,uf,quantidade_autos
01-ABR-2021,Excesso de Peso,RS,65
01-ABR-2021,Excesso de Peso,SC,1013
01-MAI-2021,CMT - Capacidade Máxima de Tração,RJ,3
01-MAI-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-MAI-2021,Evasão de Balança,MG,1041
01-MAI-2021,Evasão de Balança,SP,1305
01-MAI-2021,Excesso de Peso,MG,1339
01-MAI-2021,Excesso de Peso,PR,65
01-MAI-2021,Excesso de Peso,SC,211
01-MAI-2021,Excesso de Peso,SP,384
01-JUN-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-JUN-2021,Excesso de Peso,ES,135
01-JUN-2021,Excesso de Peso,MS,11
01-JUN-2021,Excesso de Peso,MS,22
01-JUN-2021,Excesso de Peso,PR,444
01-JUN-2021,Excesso de Peso,RS,24
01-JUN-2021,Excesso de Peso,SC,702
01-JUL-2021,CMT - Capacidade Máxima de Tração,MG,2
01-JUL-2021,CMT - Capacidade Máxima de Tração,RJ,3
01-JUL-2021,Excesso de Peso,MG,328
01-JUL-2021,Excesso de Peso,MS,14
01-JUL-2021,Excesso de Peso,PR,161
01-JUL-2021,Excesso de Peso,RJ,425
01-JUL-2021,Excesso de Peso,RJ,2077
01-JUL-2021,Excesso de Peso,SC,798
01-JUL-2021,Excesso de Peso,SP,561
01-AGO-2021,CMT - Capacidade Máxima de Tração,MG,1
01-AGO-2021,CMT - Capacidade Máxima de Tração,MG,2
01-AGO-2021,Evasão de Balança,GO,930
01-AGO-2021,Excesso de Peso,GO,7
01-AGO-2021,Excesso de Peso,GO,458
01-AGO-2021,Excesso de Peso,MG,476
01-AGO-2021,Excesso de Peso,MT,46
01-AGO-2021,Excesso de Peso,PR,107
01-AGO-2021,Excesso de Peso,RJ,1628
01-AGO-2021,Excesso de Peso,SC,151
01-AGO-2021,Excesso de Peso,SC,616
01-AGO-2021,Excesso de Peso,SP,72
01-AGO-2021,Excesso de Peso,SP,97
01-SET-2021,CMT - Capacidade Máxima de Tração,MG,4
01-SET-2021,Excesso de Peso,ES,51
01-SET-2021,Excesso de Peso,GO,143
01-SET-2021,Excesso de Peso,MG,213
01-SET-2021,Excesso de Peso,PR,114
01-SET-2021,Excesso de Peso,RS,91
01-SET-2021,Excesso de Peso,RS,461
01-SET-2021,Excesso de Peso,SC,26
01-SET-2021,Excesso de Peso,SC,86
01-SET-2021,Excesso de Peso,SP,160
01-OUT-2021,CMT - Capacidade Máxima de Tração,RJ,7
01-OUT-2021,Evasão de Balança,RJ,3782
01-OUT-2021,Excesso de Peso,GO,58
01-OUT-2021,Excesso de Peso,MG,148
01-OUT-2021,Excesso de Peso,MG,1303
01-OUT-2021,Excesso de Peso,MT,39
01-OUT-2021,Excesso de Peso,MT,63
01-OUT-2021,Excesso de Peso,PR,76
01-OUT-2021,Excesso de Peso,RS,31
01-OUT-2021,Excesso de Peso,SP,88
01-OUT-2021,Excesso de Peso,SP,123
01-NOV-2021,CMT - Capacidade Máxima de Tração,PR,1
01-NOV-2021,CMT - Capacidade Máxima de Tração,SP,6
01-NOV-2021,Evasão de Balança,MG,2093
01-NOV-2021,Evasão de Balança,SP,1260
01-NOV-2021,Excesso de Peso,GO,201
01-NOV-2021,Excesso de Peso,MG,143
01-NOV-2021,Excesso de Peso,MG,169
01-NOV-2021,Excesso de Peso,MT,40
01-NOV-2021,Excesso de Peso,MT,99
01-NOV-2021,Excesso de Peso,MT,287
01-NOV-2021,Excesso de Peso,RJ,411
01-NOV-2021,Excesso de Peso,RS,234
01-NOV-2021,Excesso de Peso,SP,171
01-NOV-2021,Excesso de Peso,SP,190
01-DEZ-2021,CMT - Capacidade Máxima de Tração,ES,1
01-DEZ-2021,CMT - Capacidade Máxima de Tração,RJ,1
01-DEZ-2021,Evasão de Balança,SP,851
01-DEZ-2021,Excesso de Peso,BA,5
01-DEZ-2021,Excesso de Peso,MG,609
01-DEZ-2021,Excesso de Peso,MT,232
01-DEZ-2021,Excesso de Peso,SC,160
01-DEZ-2021,Excesso de Peso,SC,176
01-DEZ-2021,Excesso de Peso,SP,149
01-DEZ-2021,Excesso de Peso,SP,197
01-JAN-2022,CMT - Capacidade Máxima de Tração,SC,1
01-JAN-2022,Evasão de Balança,GO,678
01-JAN-2022,Excesso de Peso,ES,238
01-JAN-2022,Excesso de Peso,GO,159
01-JAN-2022,Excesso de Peso,MG,221
01-JAN-2022,Excesso de Peso,MG,224
01-JAN-2022,Excesso de Peso,SP,99
01-FEV-2022,CMT - Capacidade Máxima de Tração,RJ,5
01-FEV-2022,CMT - Capacidade Máxima de Tração,SC,1
01-FEV-2022,Evasão de Balança,GO,840
01-FEV-2022,Evasão de Balança,RJ,2939
01-FEV-2022,Excesso de Peso,ES,296
01-FEV-2022,Excesso de Peso,GO,135
01-FEV-2022,Excesso de Peso,MG,222
01-FEV-2022,Excesso de Peso,MG,241
01-FEV-2022,Excesso de Peso,MG,770
01-FEV-2022,Excesso de Peso,MT,75
01-FEV-2022,Excesso de Peso,RJ,319
01-FEV-2022,Excesso de Peso,SP,96
01-FEV-2022,Excesso de Peso,SP,189
01-MAR-2022,CMT - Capacidade Máxima de Tração,MG,1
01-MAR-2022,CMT - Capacidade Máxima de Tração,SC,1
01-MAR-2022,Excesso de Peso,BA,3
01-MAR-2022,Excesso de Peso,ES,22
01-MAR-2022,Excesso de Peso,MG,290
01-MAR-2022,Excesso de Peso,MG,1029
